Rank,Model,Aver,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Precision,Nparam,model_link
36,migtissera/Synthia-70B-v1.2,63.41,70.48,86.98,70.13,58.64,83.27,31.92,42.42,fine-tuned,16bit,68.72,https://huggingface.co/migtissera/Synthia-70B-v1.2
37,fblgit/juanako-7b-UNA,63.36,68.17,85.34,62.47,65.13,78.85,44.81,38.74,fine-tuned,16bit,7.24,https://huggingface.co/fblgit/juanako-7b-UNA
38,psmathur/model_007,63.2,71.08,87.65,69.04,63.12,83.35,37.15,31.05,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_007
39,upstage/llama-65b-instruct,63.1,68.86,86.43,64.77,59.7,81.06,26.23,54.69,fine-tuned,16bit,65.02,https://huggingface.co/upstage/llama-65b-instruct
40,sequelbox/SharpBalance,63.01,69.28,87.59,69.51,59.05,84.06,34.65,36.93,fine-tuned,16bit,69.24,https://huggingface.co/sequelbox/SharpBalance
41,chargoddard/loyal-piano-m7,62.85,66.72,85.03,64.43,60.03,79.08,56.71,27.92,instruction-tuned,16bit,7.24,https://huggingface.co/chargoddard/loyal-piano-m7
42,migtissera/Synthia-70B-v1.1,62.84,70.05,87.12,70.34,57.84,83.66,31.84,39.02,fine-tuned,16bit,68.72,https://huggingface.co/migtissera/Synthia-70B-v1.1
43,Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-1-7B,62.81,66.55,84.47,63.34,61.22,78.37,53.07,32.66,fine-tuned,16bit,7.24,https://huggingface.co/Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-1-7B
44,uni-tianyan/Uni-TianYan,62.78,72.1,87.4,69.91,65.81,82.32,22.14,39.79,fine-tuned,16bit,68.72,https://huggingface.co/uni-tianyan/Uni-TianYan
45,OpenBuddy/openbuddy-llama-65b-v8-bf16,62.62,62.8,83.6,62.01,55.09,79.95,43.37,51.5,fine-tuned,16bit,65.07,https://huggingface.co/OpenBuddy/openbuddy-llama-65b-v8-bf16
46,openaccess-ai-collective/openhermes-2_5-dpo-no-robots,62.16,64.93,84.3,63.86,52.12,77.9,55.27,36.72,RL-tuned,16bit,0.0,https://huggingface.co/openaccess-ai-collective/openhermes-2_5-dpo-no-robots
47,TigerResearch/tigerbot-70b-base,62.1,62.46,83.61,65.49,52.76,80.19,37.76,52.45,pretrained,16bit,68.95,https://huggingface.co/TigerResearch/tigerbot-70b-base
48,psmathur/model_007_v2,62.02,71.42,87.31,68.58,62.65,84.14,28.66,31.38,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_007_v2
49,TheBloke/Airoboros-L2-70B-2.1-GPTQ,61.76,70.39,86.54,68.89,55.55,81.61,15.24,54.1,fine-tuned,GPTQ,72.82,https://huggingface.co/TheBloke/Airoboros-L2-70B-2.1-GPTQ
50,CausalLM/14B,61.62,56.66,79.08,65.86,47.75,74.9,58.61,48.46,fine-tuned,16bit,14.0,https://huggingface.co/CausalLM/14B
51,luffycodes/higgs-llama-vicuna-ep25-70b,61.54,62.29,86.07,64.25,53.75,80.66,34.57,49.21,fine-tuned,16bit,68.72,https://huggingface.co/luffycodes/higgs-llama-vicuna-ep25-70b
52,maywell/Mini_Synatra_SFT,61.31,62.46,83.44,61.2,53.67,74.66,44.88,48.86,instruction-tuned,16bit,0.0,https://huggingface.co/maywell/Mini_Synatra_SFT
53,chargoddard/MelangeC-70b,61.22,71.67,87.6,70.37,58.13,83.98,0.0,56.81,instruction-tuned,16bit,68.98,https://huggingface.co/chargoddard/MelangeC-70b
54,monology/openinstruct-mistral-7b,61.22,59.73,82.77,60.55,48.76,79.56,50.49,46.71,instruction-tuned,16bit,7.24,https://huggingface.co/monology/openinstruct-mistral-7b
55,Brillibits/Instruct_Llama70B_Dolly15k,60.97,68.34,87.21,69.52,46.46,84.29,42.68,28.26,fine-tuned,16bit,68.72,https://huggingface.co/Brillibits/Instruct_Llama70B_Dolly15k
56,VAGOsolutions/SauerkrautLM-7b-HerO,60.88,63.23,83.52,63.3,49.22,78.37,49.28,39.22,fine-tuned,16bit,7.24,https://huggingface.co/VAGOsolutions/SauerkrautLM-7b-HerO
57,Kiddyz/testllm-c2,60.81,60.58,81.91,61.2,49.87,77.82,47.38,46.89,fine-tuned,16bit,0.0,https://huggingface.co/Kiddyz/testllm-c2
58,jondurbin/airoboros-l2-70b-gpt4-2.0,60.78,68.52,87.89,70.41,49.79,83.5,24.72,40.63,fine-tuned,16bit,68.72,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
59,Azure99/blossom-v3-mistral-7b,60.77,60.49,81.9,61.35,50.31,76.95,46.7,47.71,fine-tuned,16bit,7.0,https://huggingface.co/Azure99/blossom-v3-mistral-7b
60,elinas/chronos007-70b,60.72,70.14,87.52,69.33,57.65,82.24,42.61,15.52,instruction-tuned,16bit,68.98,https://huggingface.co/elinas/chronos007-70b
61,OpenBuddy/openbuddy-falcon-180b-v12-preview0,60.54,62.29,83.8,55.92,53.05,82.08,41.24,45.41,fine-tuned,4bit,178.64,https://huggingface.co/OpenBuddy/openbuddy-falcon-180b-v12-preview0
62,Faradaylab/ARIA-70B-V3,60.53,63.91,86.21,64.75,51.32,82.08,28.13,47.29,fine-tuned,16bit,68.98,https://huggingface.co/Faradaylab/ARIA-70B-V3
63,migtissera/Synthia-70B,60.29,69.45,87.11,68.91,59.79,83.66,31.39,21.75,fine-tuned,16bit,68.72,https://huggingface.co/migtissera/Synthia-70B
64,Azure99/blossom-v3_1-mistral-7b,60.22,60.49,81.71,61.0,49.51,75.53,46.93,46.36,fine-tuned,16bit,7.0,https://huggingface.co/Azure99/blossom-v3_1-mistral-7b
65,llm-agents/tora-70b-v1.0,60.12,67.75,85.83,69.22,51.79,81.93,23.81,40.52,fine-tuned,16bit,68.72,https://huggingface.co/llm-agents/tora-70b-v1.0
66,openaccess-ai-collective/grendel,60.12,60.49,79.99,58.98,52.68,75.3,28.73,64.7,,16bit,0.0,https://huggingface.co/openaccess-ai-collective/grendel
67,Qwen/Qwen-14B,60.07,58.28,83.99,67.7,49.43,76.8,58.98,25.31,pretrained,16bit,14.17,https://huggingface.co/Qwen/Qwen-14B
68,jondurbin/airoboros-l2-70b-gpt4-2.0,60.05,68.6,87.53,69.37,48.52,83.9,17.66,44.74,fine-tuned,4bit,68.72,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
69,oh-yeontaek/llama-2-70B-LoRA-assemble-v2,59.93,71.84,86.89,69.37,64.79,81.22,14.25,31.14,fine-tuned,16bit,68.72,https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble-v2
70,psmathur/test_42_70b,59.77,68.26,87.65,70.0,48.76,83.66,45.94,14.09,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/test_42_70b
71,maywell/PiVoT-0.1-early,59.75,62.46,82.97,61.02,62.89,73.72,44.43,30.78,RL-tuned,16bit,7.24,https://huggingface.co/maywell/PiVoT-0.1-early
72,perlthoughts/Chupacabra-7B-v2,59.43,65.19,83.39,63.6,57.17,78.14,54.74,13.76,fine-tuned,16bit,7.24,https://huggingface.co/perlthoughts/Chupacabra-7B-v2
73,meta-math/MetaMath-70B-V1.0,59.35,68.0,86.85,69.31,50.98,82.32,44.66,13.37,fine-tuned,16bit,68.72,https://huggingface.co/meta-math/MetaMath-70B-V1.0
74,HiTZ/alpaca-lora-65b-en-pt-es-ca,59.31,65.02,84.88,62.19,46.06,80.51,26.69,49.84,fine-tuned,16bit,65.0,https://huggingface.co/HiTZ/alpaca-lora-65b-en-pt-es-ca
75,perlthoughts/Chupacabra-7B,59.21,66.81,83.52,62.68,52.31,79.08,62.17,7.88,fine-tuned,16bit,7.24,https://huggingface.co/perlthoughts/Chupacabra-7B
76,meta-llama/Llama-2-70b-hf,59.12,67.32,87.33,69.83,44.92,83.74,54.06,6.62,pretrained,16bit,68.98,https://huggingface.co/meta-llama/Llama-2-70b-hf
77,tiiuae/falcon-180B,59.1,69.45,88.86,70.5,45.47,86.9,45.94,6.57,pretrained,8bit,179.52,https://huggingface.co/tiiuae/falcon-180B
78,jondurbin/airoboros-l2-70b-gpt4-m2.0,59.08,70.05,87.83,70.67,49.79,83.58,25.4,26.2,fine-tuned,16bit,68.72,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-m2.0
79,Intel/neural-chat-7b-v3-1,59.06,66.21,83.64,62.37,59.65,78.14,19.56,43.84,fine-tuned,16bit,7.0,https://huggingface.co/Intel/neural-chat-7b-v3-1
80,lizpreciatior/lzlv_70b_fp16_hf,59.06,70.14,87.54,70.23,60.49,83.43,30.93,10.68,fine-tuned,16bit,68.98,https://huggingface.co/lizpreciatior/lzlv_70b_fp16_hf
81,lvkaokao/mistral-7b-finetuned-orca-dpo-v2,59.06,66.21,83.64,62.37,59.65,78.14,19.56,43.84,,16bit,0.0,https://huggingface.co/lvkaokao/mistral-7b-finetuned-orca-dpo-v2
82,Intel/neural-chat-7b-v3-1,59.04,66.3,83.6,62.44,59.54,77.98,19.41,44.0,fine-tuned,16bit,7.0,https://huggingface.co/Intel/neural-chat-7b-v3-1
83,Intel/neural-chat-7b-v3-1,59.01,65.7,83.54,62.12,59.48,78.61,20.09,43.54,fine-tuned,8bit,7.0,https://huggingface.co/Intel/neural-chat-7b-v3-1
84,openbmb/UltraLM-65b,58.99,67.06,84.98,63.48,53.51,81.14,32.75,30.0,,16bit,65.02,https://huggingface.co/openbmb/UltraLM-65b
85,CausalLM/14B-DPO-alpha,58.89,58.11,79.38,66.62,54.15,74.51,62.7,16.76,fine-tuned,16bit,14.0,https://huggingface.co/CausalLM/14B-DPO-alpha
86,OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,58.89,62.37,82.29,58.18,52.6,77.51,31.61,47.63,fine-tuned,16bit,32.35,https://huggingface.co/OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
87,Xwin-LM/Xwin-LM-70B-V0.1,58.87,70.22,87.25,69.77,59.86,82.87,27.22,14.91,fine-tuned,16bit,68.72,https://huggingface.co/Xwin-LM/Xwin-LM-70B-V0.1
88,lilloukas/GPlatty-30B,58.87,65.78,84.79,63.49,52.45,80.98,13.87,50.73,fine-tuned,16bit,32.32,https://huggingface.co/lilloukas/GPlatty-30B
89,ICBU-NPU/FashionGPT-70B-V1,58.85,71.08,87.32,70.7,63.92,83.66,28.13,7.13,fine-tuned,16bit,68.72,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1
90,ICBU-NPU/FashionGPT-70B-V1.2,58.85,73.04,88.15,70.11,65.15,82.56,24.03,8.9,fine-tuned,16bit,68.72,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.2
91,OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,58.83,62.46,82.3,58.15,52.57,77.82,30.93,47.55,fine-tuned,16bit,32.35,https://huggingface.co/OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
92,jondurbin/airoboros-65b-gpt4-1.3,58.57,66.13,85.99,63.89,51.32,79.95,13.65,49.07,fine-tuned,16bit,65.02,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.3
93,upstage/llama-30b-instruct-2048,58.56,64.93,84.94,61.9,56.3,79.56,17.82,44.46,fine-tuned,16bit,32.32,https://huggingface.co/upstage/llama-30b-instruct-2048
94,berkeley-nest/Starling-LM-7B-alpha,58.5,63.65,84.87,64.7,46.32,80.43,62.32,7.2,fine-tuned,16bit,7.24,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha
95,Walmart-the-bag/Misted-7B,58.48,63.65,84.14,63.94,52.0,78.3,59.59,7.72,fine-tuned,16bit,7.24,https://huggingface.co/Walmart-the-bag/Misted-7B
96,jarradh/llama2_70b_chat_uncensored,58.48,68.43,86.77,68.76,52.5,82.56,30.25,20.09,fine-tuned,16bit,68.72,https://huggingface.co/jarradh/llama2_70b_chat_uncensored
97,Doctor-Shotgun/mythospice-limarp-70b,58.45,69.2,87.46,70.14,55.86,82.72,32.22,11.59,fine-tuned,16bit,68.72,https://huggingface.co/Doctor-Shotgun/mythospice-limarp-70b
98,psmathur/model_420,58.41,70.14,87.73,70.35,54.0,83.74,28.58,14.35,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_420
99,TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,58.32,68.26,88.32,70.23,55.69,83.98,29.8,11.98,fine-tuned,16bit,68.72,https://huggingface.co/TheBloke/llama-2-70b-Guanaco-QLoRA-fp16
100,augtoma/qCammel-70,58.32,68.34,87.87,70.18,57.47,84.29,29.72,10.34,fine-tuned,16bit,68.72,https://huggingface.co/augtoma/qCammel-70
101,augtoma/qCammel-70-x,58.32,68.34,87.87,70.18,57.47,84.29,29.72,10.34,fine-tuned,16bit,68.72,https://huggingface.co/augtoma/qCammel-70-x
102,augtoma/qCammel-70v1,58.32,68.34,87.87,70.18,57.47,84.29,29.72,10.34,fine-tuned,16bit,68.72,https://huggingface.co/augtoma/qCammel-70v1
103,augtoma/qCammel-70x,58.32,68.34,87.87,70.18,57.47,84.29,29.72,10.34,fine-tuned,16bit,68.72,https://huggingface.co/augtoma/qCammel-70x
104,augtoma/qCammel70,58.32,68.34,87.87,70.18,57.47,84.29,29.72,10.34,fine-tuned,16bit,68.72,https://huggingface.co/augtoma/qCammel70
105,Gryphe/MythoMist-7b,58.26,65.87,83.55,62.32,59.98,78.06,20.24,37.82,fine-tuned,16bit,7.24,https://huggingface.co/Gryphe/MythoMist-7b
106,pankajmathur/Lima_Unchained_70b,58.2,68.26,87.65,70.0,48.76,83.66,34.72,14.37,instruction-tuned,16bit,68.72,https://huggingface.co/pankajmathur/Lima_Unchained_70b
107,psmathur/model_42_70b,58.2,68.26,87.65,70.0,48.76,83.66,34.72,14.37,fine-tuned,16bit,68.72,https://huggingface.co/psmathur/model_42_70b
108,ajibawa-2023/SlimOrca-13B,58.15,60.15,81.4,57.04,49.37,74.43,39.95,44.73,fine-tuned,16bit,13.0,https://huggingface.co/ajibawa-2023/SlimOrca-13B
109,maywell/Synatra-RP-Orca-2-7b-v0.1,58.05,57.68,77.37,56.1,52.52,74.59,39.65,48.48,instruction-tuned,16bit,6.74,https://huggingface.co/maywell/Synatra-RP-Orca-2-7b-v0.1
110,microsoft/Orca-2-13b,58.05,60.67,79.81,60.37,56.41,76.64,17.97,54.48,fine-tuned,16bit,13.0,https://huggingface.co/microsoft/Orca-2-13b
111,Aeala/Alpaca-elina-65b,57.98,65.27,85.75,63.42,47.32,81.37,29.04,33.69,,16bit,65.02,https://huggingface.co/Aeala/Alpaca-elina-65b
112,Aeala/GPT4-x-AlpacaDente-30b,57.98,62.12,82.78,56.19,52.68,78.69,30.1,43.28,fine-tuned,16bit,32.32,https://huggingface.co/Aeala/GPT4-x-AlpacaDente-30b
113,internlm/internlm-20b,57.98,60.49,82.13,61.85,52.61,76.72,23.5,48.53,pretrained,16bit,20.0,https://huggingface.co/internlm/internlm-20b
114,ariellee/SuperPlatty-30B,57.89,65.78,83.95,62.57,53.52,80.35,9.63,49.44,fine-tuned,16bit,32.32,https://huggingface.co/ariellee/SuperPlatty-30B
115,MetaIX/GPT4-X-Alpasta-30b,57.85,63.05,83.56,57.71,51.52,78.22,30.48,40.38,fine-tuned,16bit,32.32,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
116,teknium/OpenHermes-2.5-Mistral-7B,57.85,64.93,84.18,63.64,52.24,78.06,26.08,35.79,fine-tuned,16bit,7.0,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
117,teknium/OpenHermes-2.5-Mistral-7B,57.82,64.93,84.3,63.82,52.31,77.9,25.47,35.99,fine-tuned,16bit,7.0,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
118,quantumaikr/llama-2-70b-fb16-orca-chat-10k,57.73,68.09,87.07,69.21,61.56,84.14,26.91,7.11,fine-tuned,16bit,68.98,https://huggingface.co/quantumaikr/llama-2-70b-fb16-orca-chat-10k
119,Doctor-Shotgun/mythospice-70b,57.71,69.28,87.53,70.1,56.76,83.27,30.1,6.94,fine-tuned,16bit,68.72,https://huggingface.co/Doctor-Shotgun/mythospice-70b
120,jondurbin/airoboros-l2-70b-gpt4-1.4.1,57.69,70.39,87.82,70.31,55.2,83.58,22.52,14.03,fine-tuned,16bit,68.72,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1
121,Weyaxi/HelpSteer-filtered-7B,57.59,59.56,83.32,63.52,41.11,76.01,33.43,46.18,fine-tuned,16bit,7.24,https://huggingface.co/Weyaxi/HelpSteer-filtered-7B
122,OpenAssistant/llama2-70b-oasst-sft-v10,57.58,67.06,86.38,67.7,56.45,82.0,27.22,16.28,fine-tuned,4bit,68.72,https://huggingface.co/OpenAssistant/llama2-70b-oasst-sft-v10
123,Intel/neural-chat-7b-v3-1,57.5,64.25,82.49,60.79,56.4,77.35,18.12,43.08,fine-tuned,4bit,7.0,https://huggingface.co/Intel/neural-chat-7b-v3-1
124,maywell/Synatra-7B-v0.3-RP,57.38,62.2,82.29,60.8,52.64,76.48,21.15,46.06,instruction-tuned,16bit,7.0,https://huggingface.co/maywell/Synatra-7B-v0.3-RP
125,dfurman/llama-2-70b-dolphin-peft,57.34,69.62,86.82,69.18,57.43,83.9,27.37,7.03,fine-tuned,16bit,70.0,https://huggingface.co/dfurman/llama-2-70b-dolphin-peft
126,Intel/neural-chat-7b-v3,57.31,67.15,83.29,62.26,58.77,78.06,1.21,50.43,fine-tuned,16bit,7.0,https://huggingface.co/Intel/neural-chat-7b-v3
127,CalderaAI/30B-Epsilon,57.23,63.05,83.59,56.89,59.03,77.66,24.56,35.82,,16bit,32.32,https://huggingface.co/CalderaAI/30B-Epsilon
128,TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit,57.21,61.52,83.5,57.43,50.7,79.08,30.48,37.78,,16bit,32.32,https://huggingface.co/TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit
129,WizardLM/WizardLM-70B-V1.0,57.17,65.44,84.41,64.05,54.81,80.82,17.97,32.71,instruction-tuned,4bit,68.72,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
130,garage-bAInd/Platypus-30B,57.12,64.59,84.26,64.23,45.35,81.37,14.4,45.65,instruction-tuned,16bit,32.32,https://huggingface.co/garage-bAInd/Platypus-30B
131,lilloukas/Platypus-30B,57.12,64.59,84.24,64.19,45.35,81.37,14.4,45.65,fine-tuned,16bit,32.32,https://huggingface.co/lilloukas/Platypus-30B
132,jordiclive/Llama-2-70b-oasst-1-200,57.11,67.66,87.24,69.95,51.28,84.14,32.75,6.73,fine-tuned,16bit,68.72,https://huggingface.co/jordiclive/Llama-2-70b-oasst-1-200
133,migtissera/SynthIA-7B-v1.3,57.11,62.12,83.45,62.65,51.37,78.85,17.59,43.76,fine-tuned,16bit,7.11,https://huggingface.co/migtissera/SynthIA-7B-v1.3
134,tiiuae/falcon-180B,57.11,69.2,88.89,69.59,45.16,86.74,33.21,7.02,pretrained,4bit,179.52,https://huggingface.co/tiiuae/falcon-180B
135,OpenLemur/lemur-70b-chat-v1,57.1,66.98,85.73,65.99,56.58,81.69,35.33,7.4,instruction-tuned,16bit,68.72,https://huggingface.co/OpenLemur/lemur-70b-chat-v1
136,TheBloke/fiction.live-Kimiko-V2-70B-fp16,57.08,67.66,87.65,69.82,49.28,83.9,34.57,6.69,fine-tuned,16bit,68.72,https://huggingface.co/TheBloke/fiction.live-Kimiko-V2-70B-fp16
137,Aeala/GPT4-x-AlpacaDente2-30b,57.05,60.58,81.81,56.63,48.38,78.14,26.76,47.06,fine-tuned,16bit,32.32,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
138,uukuguy/speechless-mistral-7b-dare-0.85,56.98,63.57,84.82,64.29,50.66,79.24,45.56,10.69,fine-tuned,16bit,7.24,https://huggingface.co/uukuguy/speechless-mistral-7b-dare-0.85
139,quantumaikr/llama-2-70b-fb16-korean,56.97,67.15,86.78,69.29,56.5,82.64,29.04,7.42,fine-tuned,16bit,68.98,https://huggingface.co/quantumaikr/llama-2-70b-fb16-korean
140,jondurbin/airoboros-65b-gpt4-1.2,56.96,65.87,86.08,63.37,52.72,79.56,26.54,24.56,fine-tuned,16bit,65.02,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.2
141,TheBloke/Orca-2-13B-GPTQ,56.95,59.81,79.12,59.35,55.14,76.64,15.54,53.02,fine-tuned,GPTQ,16.24,https://huggingface.co/TheBloke/Orca-2-13B-GPTQ
